순위	선수명	팀명	ERA	G	W	L	SV	HLD	WPCT	IP	H	HR	BB	HBP	SO	R	ER	WHIP
1	박웅	두산	3.00	8	0	0	0	0	-	6	7	0	7	0	3	3	2	2.33
2	정철원	두산	3.10	58	4	3	3	23	0.571	72 2/3	60	4	26	2	47	26	25	1.18
3	박정수	두산	3.20	13	1	1	0	0	0.500	19 2/3	17	1	9	1	18	7	7	1.32
4	홍건희	두산	3.48	58	2	9	18	9	0.182	62	58	5	21	2	60	30	24	1.27
5	브랜든	두산	3.60	11	5	3	0	0	0.625	65	56	5	24	1	40	29	26	1.23
5	스탁	두산	3.60	29	9	10	0	0	0.474	165	162	9	83	10	138	87	66	1.48
5	이병헌	두산	3.60	9	0	0	0	0	-	5	5	0	7	1	5	2	2	2.40
5	최원준	두산	3.60	30	8	13	0	0	0.381	165	183	21	37	7	113	80	66	1.33
9	김명신	두산	3.62	68	3	3	0	10	0.500	79 2/3	75	5	25	3	61	33	32	1.26
10	장원준	두산	3.71	27	0	1	0	6	0.000	17	23	0	7	1	7	8	7	1.76
11	곽빈	두산	3.78	27	8	9	0	0	0.471	147 2/3	143	13	60	11	138	69	62	1.37
12	임창민	두산	3.95	32	0	0	2	6	-	27 1/3	26	3	10	3	21	15	12	1.32
13	이형범	두산	4.35	31	0	1	0	0	0.000	31	34	1	11	4	17	17	15	1.45
14	김강률	두산	4.38	26	3	4	9	1	0.429	24 2/3	28	2	8	2	15	13	12	1.46
15	이영하	두산	4.93	21	6	8	0	0	0.429	98 2/3	109	5	57	6	83	65	54	1.68
16	최승용	두산	5.30	48	3	7	0	5	0.300	93 1/3	104	8	43	2	64	59	55	1.58
17	박치국	두산	5.40	15	1	2	0	3	0.333	11 2/3	6	0	9	3	12	8	7	1.29
18	권휘	두산	5.79	10	0	0	0	1	-	9 1/3	8	1	5	1	5	6	6	1.39
19	김지용	두산	6.05	18	1	0	0	0	1.000	19 1/3	19	5	5	1	13	14	13	1.24
20	이현승	두산	6.23	23	1	0	0	2	1.000	8 2/3	13	2	4	1	9	6	6	1.96
21	이승진	두산	6.61	35	3	1	0	2	0.750	31 1/3	35	5	12	1	29	25	23	1.50
22	박신지	두산	6.71	29	1	6	0	0	0.143	61 2/3	84	7	40	5	38	50	46	2.01
23	김동주	두산	7.56	10	0	0	0	0	-	16 2/3	23	5	9	0	13	14	14	1.92
24	미란다	두산	8.22	3	0	0	0	0	-	7 2/3	2	0	18	1	8	7	7	2.61
25	윤명준	두산	8.46	20	1	1	0	0	0.500	22 1/3	33	8	8	1	15	24	21	1.84
26	전창민	두산	19.29	9	0	0	0	0	-	9 1/3	17	2	8	0	3	20	20	2.68
